current_path,class_name,extends,abstract,final,interface,referenced_by_string_in_files
"C:\Apache24\htdocs\piwigo16/include/Logger.class.php",Logger,,0,0,0,"C:\Apache24\htdocs\piwigo16/admin\include\functions.php"
"C:\Apache24\htdocs\piwigo16/include/base32.class.php",PwgBase32,,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/block.class.php",BlockManager,,0,0,0,"C:\Apache24\htdocs\piwigo16/include\block.class.php"
"C:\Apache24\htdocs\piwigo16/include/block.class.php",RegisteredBlock,,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/block.class.php",DisplayBlock,,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/cache.class.php",PersistentCache,,1,0,0,
"C:\Apache24\htdocs\piwigo16/include/cache.class.php",PersistentFileCache,PersistentCache,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/calendar_base.class.php",CalendarBase,,1,0,0,
"C:\Apache24\htdocs\piwigo16/include/calendar_monthly.class.php",CalendarMonthly,CalendarBase,0,0,0,"C:\Apache24\htdocs\piwigo16/include\functions_calendar.inc.php"
"C:\Apache24\htdocs\piwigo16/include/calendar_weekly.class.php",CalendarWeekly,CalendarBase,0,0,0,"C:\Apache24\htdocs\piwigo16/include\functions_calendar.inc.php"
"C:\Apache24\htdocs\piwigo16/include/emogrifier.class.php",Emogrifier,,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",FeedItem,HtmlDescribable,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",EnclosureItem,HtmlDescribable,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",FeedImage,HtmlDescribable,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",HtmlDescribable,,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",FeedHtmlField,,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",UniversalFeedCreator,FeedCreator,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",FeedCreator,HtmlDescribable,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",FeedDate,,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",RSSCreator10,FeedCreator,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",RSSCreator091,FeedCreator,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",RSSCreator20,RSSCreator091,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",PIECreator01,FeedCreator,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",AtomCreator10,FeedCreator,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",AtomCreator03,FeedCreator,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",MBOXCreator,FeedCreator,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",OPMLCreator,FeedCreator,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",HTMLCreator,FeedCreator,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/feedcreator.class.php",JSCreator,HTMLCreator,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/jshrink.class.php",Minifier,,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/passwordhash.class.php",PasswordHash,,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/pwgsession.class.php",PwgSession,,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/pwgsession_php7.class.php",PwgSession,,0,0,0,
