AEMeteringMode	Multi-segment	Multi segment
AEProgramMode	Landscape	Krajina
AEProgramMode	Macro	Makro
AEProgramMode	Portrait	Portrét
AFPoint	None	Žádná
AFPointBrightness	Normal	Normální
AFPointSelectionMethod	Normal	Normální
AFPointsInFocus	None	Žádná
ActiveD-Lighting	Low	Méně
ActiveD-Lighting	Normal	Normální
ActiveD-LightingMode	Low	Méně
ActiveD-LightingMode	Normal	Normální
AdultContentWarning	Unknown	Neznámý
AssistButtonFunction	Normal	Normální
AutoLightingOptimizer	Low	Méně
AutoRotate	None	Žádná
AutoRotate	Rotate 180	180° (dolů/vpravo)
AutoRotate	Rotate 270 CW	90° po směru HR (vlevo/dolů)
AutoRotate	Rotate 90 CW	90° ptoti směru HR (vpravo/nahoru)
AutoRotate	n/a	Neznámý
BannerImageType	None	Žádná
BlurWarning	None	Žádná
CPUType	None	Žádná
CalibrationIlluminant1	Cloudy	Zataženo
CalibrationIlluminant1	Cool White Fluorescent	Studená zářivka
CalibrationIlluminant1	Day White Fluorescent	Denní zářivka
CalibrationIlluminant1	Daylight	Denní světlo
CalibrationIlluminant1	Daylight Fluorescent	Denní světlo
CalibrationIlluminant1	Fine Weather	Slunečno
CalibrationIlluminant1	Flash	Blesk
CalibrationIlluminant1	Fluorescent	Žárovka
CalibrationIlluminant1	ISO Studio Tungsten	Studiová světla
CalibrationIlluminant1	Other	Jiné osvětlení
CalibrationIlluminant1	Shade	Stíny
CalibrationIlluminant1	Standard Light A	Standardní světlo A
CalibrationIlluminant1	Standard Light B	Standardní světlo B
CalibrationIlluminant1	Standard Light C	Standardní světlo C
CalibrationIlluminant1	Tungsten (Incandescent)	Zářivka
CalibrationIlluminant1	Unknown	Neznámý
CalibrationIlluminant1	White Fluorescent	Bílá zářivka
CalibrationIlluminant2	Cloudy	Zataženo
CalibrationIlluminant2	Cool White Fluorescent	Studená zářivka
CalibrationIlluminant2	Day White Fluorescent	Denní zářivka
CalibrationIlluminant2	Daylight	Denní světlo
CalibrationIlluminant2	Daylight Fluorescent	Denní světlo
CalibrationIlluminant2	Fine Weather	Slunečno
CalibrationIlluminant2	Flash	Blesk
CalibrationIlluminant2	Fluorescent	Žárovka
CalibrationIlluminant2	ISO Studio Tungsten	Studiová světla
CalibrationIlluminant2	Other	Jiné osvětlení
CalibrationIlluminant2	Shade	Stíny
CalibrationIlluminant2	Standard Light A	Standardní světlo A
CalibrationIlluminant2	Standard Light B	Standardní světlo B
CalibrationIlluminant2	Standard Light C	Standardní světlo C
CalibrationIlluminant2	Tungsten (Incandescent)	Zářivka
CalibrationIlluminant2	Unknown	Neznámý
CalibrationIlluminant2	White Fluorescent	Bílá zářivka
CameraOrientation	Horizontal (normal)	0° (nahoru/vlevo)
CameraOrientation	Rotate 270 CW	90° po směru HR (vlevo/dolů)
CameraOrientation	Rotate 90 CW	90° ptoti směru HR (vpravo/nahoru)
CanonExposureMode	Aperture-priority AE	Priorita clony
CanonExposureMode	Manual	Manuální
CanonExposureMode	Shutter speed priority AE	Priorita času
CaptureXResolutionUnit	um	µm (mikrometr)
CaptureYResolutionUnit	um	µm (mikrometr)
CenterWeightedAreaSize	Average	Průměr
ChrominanceNR_TIFF_JPEG	Low	Méně
ChrominanceNoiseReduction	Low	Méně
ColorEffect	Sepia	Sépie
ColorMode	Landscape	Krajina
ColorMode	Normal	Normální
ColorMode	Portrait	Portrét
ColorMoireReductionMode	Low	Méně
ColorSpace	ICC Profile	ICC Profil
ColorSpace	Uncalibrated	Nekalibrován
ColorTone	Normal	Normální
CommanderGroupAMode	Manual	Manuální
CommanderGroupBMode	Manual	Manuální
CommanderInternalFlash	Manual	Manuální
Compression	JPEG	JPEG komprese
Compression	JPEG (old-style)	JPEG (pův. verze)
Compression	Kodak DCR Compressed	Kodak DCR komprese
Compression	Kodak KDC Compressed	Kodak KDC komprese
Compression	Next	Kódování NeXT 2-bit
Compression	Nikon NEF Compressed	Nikon NEF komprese
Compression	None	Žádná
Compression	Pentax PEF Compressed	Pentax PEF komprese
Compression	SGILog	Kódování SGI 32-bit Log Luminance
Compression	SGILog24	Kódování SGI 24-bit Log Luminance
Compression	Sony ARW Compressed	Sony ARW komprese
Compression	Thunderscan	Kódování ThunderScan 4-bit
Compression	Uncompressed	Bez komprese
CompressionType	None	Žádná
Contrast	High	Více
Contrast	Low	Méně
Contrast	Normal	Normální
ConversionLens	Macro	Makro
CopyrightStatus	Unknown	Neznámý
CropUnit	inches	Palce
CropUnits	inches	Palce
CustomRendered	Custom	Uživatelské zpracování
CustomRendered	Normal	Normální proces
DataImprint	None	Žádná
