AEBAutoCancel	Off	Aus
AEBAutoCancel	On	Ein
AEBSequenceAutoCancel	-,0,+/Disabled	-,0,+/Aus
AEBSequenceAutoCancel	-,0,+/Enabled	-,0,+/Ein
AEBSequenceAutoCancel	0,-,+/Disabled	0,-,+/Aus
AEBSequenceAutoCancel	0,-,+/Enabled	0,-,+/Ein
AEFlags	AE lock	AE Speicherung
AEFlags	Aperture wide open	Offene Blende
AEFlags	Flash recommended?	Blitz erforderlich
AELock	Off	Aus
AELock	On	Ein
AELockButton	AE Lock (hold)	Nur Belichtung (halten)
AELockButton	AE Lock Only	Nur Belichtung
AELockButton	AE-L/AF Area	Belichtung & Messfeld
AELockButton	AE-L/AF-L/AF Area	Bel. & Fokus & Messfeld
AELockButton	AE/AF Lock	Belichtung & Fokus
AELockButton	AF Lock Only	Nur Fokus
AELockButton	AF-L/AF Area	Fokus & Messfeld
AELockButton	AF-ON	AF-Aktivierung
AELockButton	AF-ON/AF Area	AF-Aktiv. & Messfeld
AELockButton	FV Lock	FV-Messwertspeicher
AELockButton	Focus Area Selection	AF-Messfeldauswahl
AEMeteringMode	Center-weighted average	Mittenbetont
AEMeteringMode	Multi-segment	Multi-Segment
AEMicroadjustment	Disable	Deaktiviert
AEMicroadjustment	Enable	Aktiviert
AEProgramMode	Av, B or X	Av, B oder X
AEProgramMode	Candlelight	Kerzenlicht
AEProgramMode	DOF Program	Schärfentiefe-Priorität
AEProgramMode	DOF Program (P-Shift)	Schärfentiefe-Priorität (P Shift)
AEProgramMode	Hi-speed Program	HS-Priorität
AEProgramMode	Hi-speed Program (P-Shift)	HS-Priorität (P Shift)
AEProgramMode	Kids	Kinder
AEProgramMode	Landscape	Landschaft
AEProgramMode	M, P or TAv	M, P oder TAv
AEProgramMode	MTF Program	MTF-Priorität
AEProgramMode	MTF Program (P-Shift)	MTF-Priorität (P Shift)
AEProgramMode	Macro	Makro
AEProgramMode	Night Scene	Nachtszene
AEProgramMode	Night Scene Portrait	Nacht-Porträt
AEProgramMode	No Flash	Kein Blitz
AEProgramMode	Pet	Haustiere
AEProgramMode	Portrait	Porträt
