AdvancedFilter	Partial Color Blue	Partial Colour Blue
AdvancedFilter	Partial Color Green	Partial Colour Green
AdvancedFilter	Partial Color Orange	Partial Colour Orange
AdvancedFilter	Partial Color Purple	Partial Colour Purple
AdvancedFilter	Partial Color Red	Partial Colour Red
AdvancedFilter	Partial Color Yellow	Partial Colour Yellow
AdvancedFilter	Pop Color	Pop Colour
AdvancedSceneMode	Color Select	Colour Select
Alpha	Alpha Exists (W color component)	Alpha Exists (W colour component)
Alpha	Alpha Exists (color not premultiplied)	Alpha Exists (colour not premultiplied)
Alpha	Alpha Exists (color premultiplied)	Alpha Exists (colour premultiplied)
ArtFilter	Pale & Light Color	Pale & Light Colour
ArtFilter	Pale & Light Color II	Pale & Light Colour II
ArtFilter	Partial Color	Partial Colour
ArtFilter	Partial Color II	Partial Colour II
ArtFilter	Partial Color III	Partial Colour III
ArtFilter	Watercolor	Watercolour
ArtFilter	Watercolor I	Watercolour I
ArtFilter	Watercolor II	Watercolour II
ArtFilterEffect	Green Color Filter	Green Colour Filter
ArtFilterEffect	No Color Filter	No Colour Filter
ArtFilterEffect	Orange Color Filter	Orange Colour Filter
ArtFilterEffect	Pale & Light Color	Pale & Light Colour
ArtFilterEffect	Pale & Light Color II	Pale & Light Colour II
ArtFilterEffect	Partial Color	Partial Colour
ArtFilterEffect	Partial Color II	Partial Colour II
ArtFilterEffect	Partial Color III	Partial Colour III
ArtFilterEffect	Red Color Filter	Red Colour Filter
ArtFilterEffect	Watercolor	Watercolour
ArtFilterEffect	Watercolor I	Watercolour I
ArtFilterEffect	Watercolor II	Watercolour II
ArtFilterEffect	Yellow Color Filter	Yellow Colour Filter
BackgroundColorIndicator	Specified Background Color	Specified Background Colour
BackgroundColorIndicator	Unspecified Background Color	Unspecified Background Colour
BestShotMode	Water Color	Water Colour
CodingMethods	JBIG color	JBIG colour
Color	Color	Colour
ColorMode	Indexed Color	Indexed Colour
ColorMode	Natural color	Natural colour
ColorMode	Neutral Color	Neutral Colour
ColorMode	RGB Color	RGB Colour
ColorMode	Saturated Color	Saturated Colour
ColorMode	Vivid color	Vivid colour
ColorSpace	Embedded Color Profile	Embedded Colour Profile
ColorSpace	Linked Color Profile	Linked Colour Profile
ColorSpace	No color space specified	No colour space specified
ColorSpace	Windows Color Space	Windows Colour Space
ColorSpecMethod	Vendor Color	Vendor Colour
ColorTemperatureSetting	Color Filter	Colour Filter
ColorType	Color	Colour
ColorType	Color Alpha	Colour Alpha
Compression	JBIG Color	JBIG Colour
ContrastMode	Dynamic (Color Film)	Dynamic (Colour Film)
ContrastMode	Dynamic Art (My Color)	Dynamic Art (My Colour)
ContrastMode	Elegant (My Color)	Elegant (My Colour)
ContrastMode	Nature (Color Film)	Nature (Colour Film)
ContrastMode	Nostalgic (Color Film)	Nostalgic (Colour Film)
ContrastMode	Retro (My Color)	Retro (My Colour)
ContrastMode	Smooth (Color Film) or Pure (My Color)	Smooth (Colour Film) or Pure (My Colour)
ContrastMode	Vibrant (Color Film) or Expressive (My Color)	Vibrant (Colour Film) or Expressive (My Colour)
DeltaType	Color Addition	Colour Addition
DeltaType	Color Replacement	Colour Replacement
DigitalFilter01	Color Filter	Colour Filter
DigitalFilter01	Extract Color	Extract Colour
DigitalFilter01	Invert Color	Invert Colour
DigitalFilter01	Replace Color	Replace Colour
DigitalFilter01	Unicolor Bold	Unicolour Bold
DigitalFilter01	Water Color	Water Colour
DigitalFilter02	Color Filter	Colour Filter
DigitalFilter02	Extract Color	Extract Colour
DigitalFilter02	Invert Color	Invert Colour
DigitalFilter02	Water Color	Water Colour
DigitalFilter03	Color Filter	Colour Filter
DigitalFilter03	Extract Color	Extract Colour
DigitalFilter03	Invert Color	Invert Colour
DigitalFilter03	Water Color	Water Colour
DigitalFilter04	Color Filter	Colour Filter
DigitalFilter04	Extract Color	Extract Colour
DigitalFilter04	Invert Color	Invert Colour
DigitalFilter04	Water Color	Water Colour
DigitalFilter05	Color Filter	Colour Filter
DigitalFilter05	Extract Color	Extract Colour
DigitalFilter05	Invert Color	Invert Colour
DigitalFilter05	Water Color	Water Colour
DigitalFilter06	Color Filter	Colour Filter
DigitalFilter06	Extract Color	Extract Colour
DigitalFilter06	Invert Color	Invert Colour
DigitalFilter06	Water Color	Water Colour
DigitalFilter07	Color Filter	Colour Filter
DigitalFilter07	Extract Color	Extract Colour
DigitalFilter07	Invert Color	Invert Colour
DigitalFilter07	Water Color	Water Colour
DigitalFilter08	Color Filter	Colour Filter
DigitalFilter08	Extract Color	Extract Colour
DigitalFilter08	Invert Color	Invert Colour
DigitalFilter08	Water Color	Water Colour
DigitalFilter09	Color Filter	Colour Filter
DigitalFilter09	Extract Color	Extract Colour
DigitalFilter09	Invert Color	Invert Colour
DigitalFilter09	Water Color	Water Colour
DigitalFilter10	Color Filter	Colour Filter
