AELockButton	None	Ninguno
AELockButtonPlusDials	None	Ninguno
AEProgramMode	Landscape	Paisaje
AEProgramMode	Portrait	Retrato
AEProgramMode	Standard	Estándar
AESetting	AE Lock	Bloqueo AE
AESetting	Exposure Compensation	Compensación Exposición
AFAreaIllumination	Off	Desactivado
AFAreaIllumination	On	Activado
AFAreaMode	Face Detect AF	Detección Caras AF
AFAreaMode	Multi-point AF or AI AF	Multipunto AF o AI AF
AFAreaMode	Off (Manual Focus)	Desactivado (Enfoque Manual)
AFAreaMode	Single-point AF	Punto único AF)
AFAreaMode	Zone AF	Zona AF
AFAssist	Off	Desactivado
AFAssist	On	Activado
AFPoint	Center	Centro
AFPoint	Face Detect	Detección Caras
AFPoint	Left	Izquierda
AFPoint	None	Ninguno
AFPoint	None (MF)	Ninguno (MF)
AFPoint	Right	Derecha
AFPointActivationArea	Standard	Estándar
AFPointAreaExpansion	Disable	Desactivado
AFPointBrightness	Brighter	Brillante
AFPointBrightness	High	Alto
AFPointBrightness	Low	Bajo
AFPointDisplayDuringFocus	Off	Desactivado
AFPointDisplayDuringFocus	On	Activado
AFPointIllumination	Brighter	Brillante
AFPointIllumination	Off	Desactivado
AFPointIllumination	On	Activado
AFPointSelected	None	Ninguno
AFPointsInFocus	All	Todo
AFPointsInFocus	None	Ninguno
AFPointsInFocus5D	Bottom	Abajo
AFPointsInFocus5D	Center	Centro
AFPointsInFocus5D	Left	Izquierda
AFPointsInFocus5D	Lower-left	Inferior izquierda
AFPointsInFocus5D	Lower-right	Inferior derecha
AFPointsInFocus5D	Right	Derecha
AFPointsInFocus5D	Top	Arriba
AFPointsInFocus5D	Upper-left	Superior izquierda
AFPointsInFocus5D	Upper-right	Superior derecha
AFPointsUnknown1	All	Todo
AIServoTrackingSensitivity	Fast	Rápido
AIServoTrackingSensitivity	Standard	Estándar
ActionAdvised	Object Append	Añadir Objeto
ActionAdvised	Object Kill	Destruir Objecto
ActionAdvised	Object Reference	Referencia Objecto
ActionAdvised	Object Replace	Reemplazar Objecto
ActionAdvised	Ojbect Append	Añadir Objeto
ActiveD-Lighting	High	Alto
ActiveD-Lighting	Low	Bajo
ActiveD-Lighting	Off	Desactivado
ActiveD-Lighting	On	Activado
ActiveD-LightingMode	High	Alto
ActiveD-LightingMode	Off	Desactivado
AddAspectRatioInfo	Off	Desactivado
AddOriginalDecisionData	Off	Desactivado
AddOriginalDecisionData	On	Activado
AdvancedRaw	Off	Desactivado
AdvancedRaw	On	Activado
AdvancedSceneMode	Monochrome	Monocromo
AdvancedSceneMode	Soft	Suave
AlphaDataDiscard	Flexbits Discarded	FlexBits Descartado
AlphaDataDiscard	Full Resolution	Resolución Total
AlphaDataDiscard	HighPass Frequency Data Discarded	Datos Frecuencia High-Pass Descartados
AlphaDataDiscard	Highpass and LowPass Frequency Data Discarded	Dato Frecuencia High-Pass y Low-Pass Descartados
AmbienceSelection	Brighter	Brillante
AmbienceSelection	Cool	Frío
AmbienceSelection	Darker	Oscuro
AmbienceSelection	Intense	Intenso
AmbienceSelection	Monochrome	Monocromo
AmbienceSelection	Soft	Suave
AmbienceSelection	Standard	Estándar
AmbienceSelection	Vivid	Vívido
AmbienceSelection	Warm	Cálido
Anti-Blur	Off	Desactivado
ArtMode	Monochrome	Monocromo
ArtMode	Panorama	Panoramica
Audio	Yes	Si
AudioChannelType	Other	Otro
AudioCodecID	Unknown -	Desconocido -
AudioSampleType	Other	Otro
AudioType	Mono Actuality	Actualidad (audio mono (1 canal))
AudioType	Mono Music	Música transmitida por si misma (audio mono (1 canal))
AudioType	Mono Question and Answer Session	Sesión pregunta y respuesta (audio mono (1 canal))
AudioType	Mono Raw Sound	Sonido bruto (audio mono (1 canal))
AudioType	Mono Response to a Question	Respuesta a una pregunta (audio mono (1 canal))
AudioType	Mono Scener	Escena (audio mono (1 canal))
AudioType	Mono Voicer	Voz (audio mono (1 canal))
AudioType	Mono Wrap	Envolvente (audio mono (1 canal))
AudioType	Stereo Actuality	Actualidad (audio estéreo (2 canales))
AudioType	Stereo Music	Música transmitida por si misma (audio estéreo (2 canales))
AudioType	Stereo Question and Answer Session	Sesión pregunta y respuesta (audio estéreo (2 canales))
AudioType	Stereo Raw Sound	Sonido bruto (audio estéreo (2 canales))
AudioType	Stereo Response to a Question	Respuesta a una pregunta (audio estéreo (2 canales))
AudioType	Stereo Scener	Escena (audio estéreo (2 canales))
AudioType	Stereo Voicer	Voz (audio estéreo (2 canales))
AudioType	Stereo Wrap	Envolvente (audio estéreo (2 canales))
AudioType	Text Only	Solo texto (sin dato de objeto)
AutoAperture	Off	Desactivado
AutoAperture	On	Activado
AutoExposureBracketing	Off	Desactivado
AutoExposureBracketing	On	Activado
AutoFP	Off	Desactivado
AutoFP	On	Activado
AutoLightingOptimizer	Low	Bajo
AutoLightingOptimizer	Off	Desactivado
AutoLightingOptimizer	Standard	Estándar
AutoLightingOptimizer	Strong	Fuerte
AutoLightingOptimizerOn	Yes	Si
AutoRedEye	Off	Desactivado
AutoRedEye	On	Activado
AutoRotate	None	Ninguno
AutoRotate	Rotate 180	Girado 180°
AutoRotate	Rotate 270 CW	Girado 270° sentido reloj
AutoRotate	Rotate 90 CW	Girado 90° sentido reloj
BackgroundTiling	Yes	Si
BannerImageType	None	Ninguno
BatteryState	Low	Bajo
Beep	High	Alto
Beep	Low	Bajo
Beep	Off	Desactivado
Beep	On	Activado
BeepPitch	High	Alto
BeepPitch	Low	Bajo
BestShotMode	Beach	Playa
BestShotMode	Fireworks	Fuegos Artificiales
BestShotMode	Food	Comida
BestShotMode	Monochrome	Monocromo
BestShotMode	Portrait	Retrato
BestShotMode	Snow	Nieve
BestShotMode	Underwater	Subacuatica
BleachBypassToning	Green	Verde
BleachBypassToning	Orange	Naranja
BleachBypassToning	Red	Rojo
BleachBypassToning	Yellow	Amarillo
BlurControl	High	Alto
BlurControl	Low	Bajo
BlurWarning	None	Ninguno
BracketMode	Off	Desactivado
CFALayout	Even columns offset down 1/2 row	Distribución escalonada A: columnas pares son movidas hacia abajo 1/2 fila
CFALayout	Even columns offset up 1/2 row	Distribución escalonada B: columnas pares son movidas hacia arriba 1/2 fila
CFALayout	Even rows offset left 1/2 column	Distribución escalonada D: filas pares son movidas a la izquierda 1/2 columna
CFALayout	Even rows offset right 1/2 column	Distribución escalonada C: filas pares son movidas a la derecha 1/2 columna
CFALayout	Rectangular	Distribución Rectangular (o cuadrada)
CPUType	None	Ninguno
CalibrationIlluminant1	Cloudy	Tiempo Nublado
CalibrationIlluminant1	Cool White Fluorescent	Fluorescente blanco cálido (W 3800 - 4500K)
CalibrationIlluminant1	Day White Fluorescent	Fluorescente blanco día (N 4600 - 5500K)
CalibrationIlluminant1	Daylight	Luz del día
CalibrationIlluminant1	Daylight Fluorescent	Fluorescente luz de día (D 5700 - 7100K)
CalibrationIlluminant1	Fine Weather	Buen tiempo
CalibrationIlluminant1	Fluorescent	Fluorescente
CalibrationIlluminant1	ISO Studio Tungsten	Tungsteno estudio ISO
CalibrationIlluminant1	Other	Otras Fuentes Luz
CalibrationIlluminant1	Shade	Sombrío
CalibrationIlluminant1	Standard Light A	Luz Estándar A
CalibrationIlluminant1	Standard Light B	Luz Estándar B
CalibrationIlluminant1	Standard Light C	Luz Estándar C
CalibrationIlluminant1	Tungsten (Incandescent)	Tungsteno (luz incandescente)
CalibrationIlluminant1	Unknown	Desconocido
CalibrationIlluminant1	Warm White Fluorescent	Fluorescente blanco cálido (L 2600 - 3250K)
CalibrationIlluminant1	White Fluorescent	Fluorescente blanco (WW 3250 - 3800K)
CalibrationIlluminant2	Cloudy	Tiempo Nublado
CalibrationIlluminant2	Cool White Fluorescent	Fluorescente blanco cálido (W 3800 - 4500K)
CalibrationIlluminant2	Day White Fluorescent	Fluorescente blanco día (N 4600 - 5500K)
CalibrationIlluminant2	Daylight	Luz del día
CalibrationIlluminant2	Daylight Fluorescent	Fluorescente luz de día (D 5700 - 7100K)
CalibrationIlluminant2	Fine Weather	Buen tiempo
CalibrationIlluminant2	Fluorescent	Fluorescente
CalibrationIlluminant2	ISO Studio Tungsten	Tungsteno estudio ISO
CalibrationIlluminant2	Other	Otras Fuentes Luz
CalibrationIlluminant2	Shade	Sombrío
CalibrationIlluminant2	Standard Light A	Luz Estándar A
CalibrationIlluminant2	Standard Light B	Luz Estándar B
CalibrationIlluminant2	Standard Light C	Luz Estándar C
CalibrationIlluminant2	Tungsten (Incandescent)	Tungsteno (luz incandescente)
CalibrationIlluminant2	Unknown	Desconocido
CalibrationIlluminant2	Warm White Fluorescent	Fluorescente blanco cálido (L 2600 - 3250K)
CalibrationIlluminant2	White Fluorescent	Fluorescente blanco (WW 3250 - 3800K)
CameraOrientation	Rotate 270 CW	Girado 270° sentido reloj
CameraOrientation	Rotate 90 CW	Girado 90° sentido reloj
CanonFlashMode	Auto	Automático
CanonFlashMode	External flash	Flash Externo
CanonFlashMode	Off	Desactivado
CanonFlashMode	On	Activado
CanonFlashMode	Red-eye reduction	Réducción ojos rojos
CanonFlashMode	Red-eye reduction (Auto)	Réducción ojos rojos (Automático)
CanonFlashMode	Red-eye reduction (On)	Réducción ojos rojos (Activado)
CanonImageSize	1280x720 Movie	Película 1280x720
CanonImageSize	1920x1080 Movie	Película 1920x1080
CanonImageSize	640x480 Movie	Película 640x480
CanonImageSize	Large	Ancho
CanonImageSize	Medium	Medio
CanonImageSize	Medium 1	Medio 1
CanonImageSize	Medium 2	Medio 2
CanonImageSize	Medium 3	Medio 3
CanonImageSize	Small	Pequeño
CanonImageSize	Small 1	Pequeño 1
CanonImageSize	Small 2	Pequeño 2
CanonImageSize	Small 3	Pequeño 3
CanonImageSize	Small Movie	Película Pequeña
ChrominanceNR_TIFF_JPEG	High	Alto
ChrominanceNR_TIFF_JPEG	Low	Bajo
ChrominanceNR_TIFF_JPEG	Off	Desactivado
ChrominanceNoiseReduction	High	Alto
ChrominanceNoiseReduction	Low	Bajo
ChrominanceNoiseReduction	Off	Desactivado
ColorAberrationControl	Off	Desactivado
ColorAberrationControl	On	Activado
ColorAdjustmentMode	Off	Apagado
ColorAdjustmentMode	On	Encendido
ColorBalanceAdj	Off	Desactivado
ColorBalanceAdj	On	Activado
ColorBooster	Off	Desactivado
ColorBooster	On	Activado
ColorEffect	Cool	Frío
ColorEffect	Warm	Cálido
ColorFilter	Green	Verde
ColorFilter	Red	Rojo
ColorFilter	Yellow	Amarillo
ColorMode	Autumn Leaves	Hojas de otoño
ColorMode	B&W	ByN
