AELock	Off	Pois
AELock	On	Päällä
AFAssistLamp	Disabled and Not Required	Deaktivoitu eikä tarpeen
AFAssistLamp	Disabled but Required	Deaktivoitu mutta tarpeen
AFAssistLamp	Enabled but Not Used	Aktivoitu muttei käytetty
AFAssistLamp	Fired	Lauennut
AFPoint	Bottom Center	Alhaalla keskellä
AFPoint	Bottom Left	Alavasemmalla
AFPoint	Bottom Right	Alaoikealla
AFPoint	Center	Keskellä
AFPoint	Center Left	Keskellä vasemmalla
AFPoint	Center Right	Keskellä oikealla
AFPoint	Far Left/Right of Center	Kaukana vasemmalla/keskioikealla
AFPoint	Far Left/Right of Center/Bottom	Kaukana vasemmalla/keskioikealla/alhaalla
AFPoint	Near Left/Right of Center	Hieman vasemmalla/keskioikealla
AFPoint	Near Upper/Left	Hieman ylhäällä/vasemmalla
AFPoint	Top Center	Ylhäällä keskellä
AFPoint	Top Left	Ylävasemmalla
AFPoint	Top Near-left	Hieman ylävasemmalla
AFPoint	Top Near-right	Hieman yläoikealla
AFPoint	Top Right	Yläoikealla
AFPoint	Upper Left	Ylävasemmalla
AFPoint	Upper Right	Yläoikealla
AFPointSelected	Auto	Automaattinen
AFPointSelected	Automatic Tracking AF	Automaattiseuranta-AF
AFPointSelected	Bottom	Alas
AFPointSelected	Center	Keskelle
AFPointSelected	Face Detect AF	Kasvojentunnistus-AF
AFPointSelected	Fixed Center	Kiinteästi keskustaan
AFPointSelected	Left	Vasemmalle
AFPointSelected	Lower-left	Alavasemmalle
AFPointSelected	Lower-right	Alaoikealle
AFPointSelected	Mid-left	Keskivasemmalle
AFPointSelected	Mid-right	Keskioikealle
AFPointSelected	Right	Oikealle
AFPointSelected	Top	Ylös
AFPointSelected	Upper-left	Ylävasemmalle
AFPointSelected	Upper-right	Yläoikealle
AFPointsInFocus	Bottom-center	Alakeski
AFPointsInFocus	Bottom-left	Alavasen
AFPointsInFocus	Bottom-right	Alaoikea
AFPointsInFocus	Center	Keski
AFPointsInFocus	Fixed Center or Multiple	Kiinteästi keskellä tai useita
AFPointsInFocus	Left	Vasen
AFPointsInFocus	None	Ei yhtään
AFPointsInFocus	Right	Oikea
AFPointsInFocus	Top-center	Yläkeski
AFPointsInFocus	Top-left	Yläoikea
AFPointsInFocus	Top-right	Yläoikea
AFSearch	Not Ready	Ei valmis
AFSearch	Ready	Valmis
ActionAdvised	Object Append	Objektiliitäntä
ActionAdvised	Object Kill	Objektin tuhonta
ActionAdvised	Object Reference	Objektiviite
ActionAdvised	Object Replace	Objektin korvaus
ActionAdvised	Ojbect Append	Objektiliitäntä
AdvancedSceneMode	Auto	Automaattinen
AdvancedSceneMode	Creative	Luova
AdvancedSceneMode	Indoor/Architecture/Objects/HDR B&W	Sisällä/arkkitehtuuri/kohteet
AdvancedSceneMode	Normal	Normaali
AdvancedSceneMode	Outdoor/Illuminations/Flower/HDR Art	Ulkona/valaistukset/kukka
AlphaDataDiscard	Flexbits Discarded	FlexBits hylätty
AlphaDataDiscard	Full Resolution	Täysi resoluutio
AlphaDataDiscard	HighPass Frequency Data Discarded	Ylipäästötaajuusdata hylätty
AlphaDataDiscard	Highpass and LowPass Frequency Data Discarded	Yli- ja alipäästötaajuusdata hylätty
Audio	No	Ei
Audio	Yes	Kyllä
AudioType	Mono Actuality	Aktuaalisuus (monoaudio (1 kanava))
AudioType	Mono Music	Musiikki, itsensä välittämä (monoaudio (1 kanava))
AudioType	Mono Question and Answer Session	Kysymys- ja vastausistunto (monoaudio (1 kanava))
AudioType	Mono Raw Sound	Raakaääni (monoaudio (1 kanava))
AudioType	Mono Response to a Question	Vastaus kysymykseen (monoaudio (1 kanava))
AudioType	Mono Scener	Kohtaus (monoaudio (1 kanava))
AudioType	Mono Voicer	Ihmisääni (monoaudio (1 kanava))
AudioType	Mono Wrap	Pakkaus (monoaudio (1 kanava))
AudioType	Stereo Actuality	Aktuaalisuus (stereoaudio (2 kanavaa))
AudioType	Stereo Music	Musiikki, itsensä välittämä (stereomono (2 kanavaa))
AudioType	Stereo Question and Answer Session	Kysymys- ja vastausistunto (stereoaudio (2 kanavaa))
AudioType	Stereo Raw Sound	Raakaääni (stereoaudio (2 kanavaa))
AudioType	Stereo Response to a Question	Vastaus kysymykseen (stereoaudio (2 kanavaa))
AudioType	Stereo Scener	Kohtaus (stereoaudio (2 kanavaa))
AudioType	Stereo Voicer	Ihmisääni (stereoaudio (2 kanavaa))
AudioType	Stereo Wrap	Pakkaus (stereoaudio (2 kanavaa))
AudioType	Text Only	Vain teksti (ei objektidataa)
AutoBracketing	No flash & flash	Ei salamaa & Salama
AutoBracketing	Off	Pois
AutoBracketing	On	Päällä
AutoFocus	Off	Pois
AutoFocus	On	Päällä
AutoISO	Off	Pois
AutoISO	On	Päällä
BWMode	Off	Pois
BWMode	On	Päällä
BestShotMode	Off	Pois
BlurWarning	Blur Warning	Tärinävaroitus
BlurWarning	None	Ei mitään
BurstMode	Auto Exposure Bracketing (AEB)	Ääretön
BurstMode	Infinite	Ääretön
BurstMode	Off	Pois
BurstMode	On	Matala/korkea laatu
BurstMode	Unlimited	Rajaton
CCDScanMode	Interlaced	Lomitettu
CCDScanMode	Progressive	Progressiivinen
CFALayout	Even columns offset down 1/2 row	Horjahtanut sommitelma A: parilliset sarakkeet siirtyneet alas 1/2 riviä
CFALayout	Even columns offset up 1/2 row	Horjahtanut sommitelma B: parilliset sarakkeet osiirtyneet ylös 1/2 riviä
CFALayout	Even rows offset left 1/2 column	Horjahtanut sommitelma D: parilliset rivit siirtyneet vasemmalle 1/2 saraketta
CFALayout	Even rows offset right 1/2 column	Horjahtanut sommitelma C: parilliset rivit siirtyneet oikealle 1/2 saraketta
CFALayout	Rectangular	Suorakulmainen (tai neliömäinen) sommitelma
CalibrationIlluminant1	Unknown	Tuntematon
CalibrationIlluminant2	Unknown	Tuntematon
ColorAdjustmentMode	Off	Pois
ColorAdjustmentMode	On	Päällä
ColorEffect	Black & White	Musta & Valkoinen
ColorEffect	Cool	Viileä
ColorEffect	Off	Pois
ColorEffect	Sepia	Seepia
ColorEffect	Warm	Lämmin
ColorFilter	Off	Pois
ColorMode	Autumn Leaves	Syksyn lehdet
ColorMode	B & W	M & V
ColorMode	B&W	M&V
ColorMode	Black & White	Heleät värit
ColorMode	Chrome	Kellastunut
ColorMode	Clear	Selkeä
ColorMode	Deep	Syvä
ColorMode	Evening	Ilta
ColorMode	Landscape	Maisema
ColorMode	Light	Valoisa
ColorMode	Natural	Luonnollinen
ColorMode	Natural color	Luonnonvalo
ColorMode	Natural sRGB	Luonnollinen sRGB
ColorMode	Natural+ sRGB	Luonnollinen+ sRGB
ColorMode	Neutral	Neutraali
ColorMode	Night Portrait	Yön muotokuva
ColorMode	Night Scene	Yönäkymä
ColorMode	Night View	Iltanäkymä
ColorMode	Night View/Portrait	Yönäkymä
ColorMode	Normal	Normaali
ColorMode	Off	Pois
ColorMode	Portrait	Muotokuva
ColorMode	Sepia	Seepia
ColorMode	Solarization	Solarisaatio
ColorMode	Standard	Vakio
ColorMode	Sunset	Auringonlasku
ColorMode	Vivid	Heleät värit
ColorMode	Vivid color	Heleä väri
ColorSpace	ICC Profile	ICC-profiili
ColorSpace	Uncalibrated	Kalibroimaton
ColorSpace	Wide Gamut RGB	Laaja Gamut RVB
Contrast	Film Simulation	Filminsimulaatio
Contrast	High	Korkea
Contrast	Low	Matala
Contrast	Medium High	Korkeahko
Contrast	Medium Low	Matalahko
Contrast	Normal	Vakio
ConversionLens	Macro	Makro
ConversionLens	Off	Pois
ConversionLens	Telephoto	Tele
ConversionLens	Wide	Laajakulma
CreativeStyle	Autumn Leaves	Syksyn lehdet
CreativeStyle	B&W	M&V
CreativeStyle	Clear	Selkeä
CreativeStyle	Deep	Syvä
CreativeStyle	Landscape	Maisema
CreativeStyle	Light	Valoisa
CreativeStyle	Neutral	Neutraali
CreativeStyle	Night View/Portrait	Yönäkymä
CreativeStyle	Portrait	Muotokuva
CreativeStyle	Sepia	Seepia
