Canon	AFPointsInFocus	(none)	(none)
Canon	FlashBits	E-TTL, Built-in	E-TTL, Intégré
Canon	PictureStylePC	None; None; None	Aucun; Aucun; Aucun
Canon	PictureStylePC	n/a; n/a; n/a	Non applicable; Non applicable; Non applicable
Canon	SelfTimer	Off	Off
CanonCustom	AFMicroadjustment	Disable; 0; 0; 0; 0	Désactivé; 0; 0; 0; 0
CanonCustom	ApertureRange	Disable; Closed 91; Open 1	Désactivé; Closed 91; Open 1
CanonCustom	ApplyShootingMeteringMode	Disable; 0; 0; 3; 112; 48; 0; 0	Désactivé; 0; 0; 3; 112; 48; 0; 0
CanonCustom	ContinuousShootingSpeed	Disable; Hi 10; Lo 3	Désactivé; Hi 10; Lo 3
CanonCustom	ContinuousShotLimit	Disable; 99 shots	Désactivé; 99 shots
CanonCustom	ISOSpeedRange	Disable; Max 3200; Min 100	Désactivé; Max 3200; Min 100
CanonCustom	ShutterSpeedRange	Disable; Hi 1/8192; Lo 32	Désactivé; Hi 1/8192; Lo 32
CanonCustom	TimerLength	Disable; 6 s: 6; 16 s: 16; After release: 2	Désactivé; 6 s: 6; 16 s: 16; After release: 2
CanonCustom	UsableMeteringModes	Disable; Flags 0xf0	Désactivés; Flags 0xf0
CanonCustom	UsableShootingModes	Disable; Flags 0xfc	Désactivés; Flags 0xfc
CanonDR4	Rotation	0	0
CanonRaw	Rotation	0	0
Casio	BestShotMode	Off	Off
Composite	CFAPattern	[Blue,Green][Green,Red]	[Blue,Green][Green,Red]
Composite	CFAPattern	[Red,Green][Green,Blue]	[Red,Green][Green,Blue]
Composite	Rotation	0	0
Composite	Rotation	90	90
Composite	ShootingMode	Aperture-priority AE	Priorité à l'ouverture AE
Composite	ShootingMode	Program AE	Programme d'exposition automatique
ExifIFD	CFAPattern	[Blue,Green][Green,Red]	[Blue,Green][Green,Red]
ExifIFD	CFAPattern	[Green,Blue][Red,Green]	[Green,Blue][Red,Green]
FotoStation	Rotation	0	0
FotoStation	Rotation	90	90
MIE-Camera	ExposureMode	Manual	Manual
MIE-Camera	ShootingMode	Manual	Manual
MIE-Image	ColorSpace	sRGB	sRGB
MIE-Orient	Rotation	90	90
Minolta	ImageStabilization	On	On
Minolta	WhiteBalance	Auto	Auto
Nikon	FocusMode	AF-C	AF-C
Nikon	FocusMode	AF-S	AF-S
Nikon	NoiseReduction	Off	Off
Nikon	Saturation	Normal	Normal
Nikon	WhiteBalance	Auto	Auto
NikonCapture	Rotation	0	0
Olympus	DriveMode	Single Shot	Single Shot
Olympus	ImageStabilization	On, Mode 2	On, Mode 2
Pentax	DriveMode	Single-frame; No Timer; Shutter Button; Single Exposure	Image unqiue; Pas de retardateur; Déclencheur; Exposition unique
Pentax	DriveMode	Video; n/a; Shutter Button; Video	Vidéo; Non applicable; Déclencheur; Vidéo
Pentax	FlashMode	Off, Did not fire; Internal	Flash désactivé, non déclenché; Flash interne
Pentax	PictureMode	Aperture Priority; 1/3 EV steps	Priorité à l'ouverture; Pas de 1/3 IL
Pentax	PictureMode	Video (4); 1/3 EV steps	Video (4); Pas de 1/3 IL
QuickTime	GenProfileCompatibilityFlags	Main 10, Main	Principal 10, Principal
RIFF	WebP_Flags	XMP, EXIF, Alpha	XMP, Exif, Alpha
Sigma	AFPoint	Center	Center
Sigma	WhiteBalance	Auto	Auto
SigmaRaw	FlashMode	Off	Off
SigmaRaw	FocusMode	AF-S	AF-S
SigmaRaw	Rotation	0	0
SigmaRaw	Rotation	90	90
XML	Rotation	90	90
XML-File	EncodingProcess	Baseline DCT, Huffman coding	Baseline DCT, Huffman coding
