AEBAutoCancel	Off	Arrêt
AEBAutoCancel	On	Marche
AEBSequence	+,0,-	+0
AEBSequence	-,0,+	-0
AEBSequenceAutoCancel	-,0,+/Disabled	-,0,+/Désactivé
AEBSequenceAutoCancel	-,0,+/Enabled	-,0,+/Activé
AEBSequenceAutoCancel	0,-,+/Disabled	0,-,+/Désactivé
AEBSequenceAutoCancel	0,-,+/Enabled	0,-,+/Activé
AELock	Off	Désactivé
AELock	On	Activé
AELockMeterModeAfterFocus	Center-weighted	Pondération centrale
AEMeteringMode	Center-weighted average	Moyenne pondérée centrale
AEMeteringMode	Multi-segment	Multizone
AEProgramMode	Av, B or X	Av, B ou X
AEProgramMode	Candlelight	Bougie
AEProgramMode	DOF Program	Programme PdC
AEProgramMode	DOF Program (P-Shift)	Programme PdC (décalage P)
AEProgramMode	Hi-speed Program	Programme grande vitesse
AEProgramMode	Hi-speed Program (P-Shift)	Programme grande vitesse (décalage P)
AEProgramMode	Kids	Enfants
AEProgramMode	Landscape	Paysage
AEProgramMode	M, P or TAv	M, P ou TAv
AEProgramMode	MTF Program	Programme FTM
AEProgramMode	MTF Program (P-Shift)	Programme FTM (décalage P)
AEProgramMode	Museum	Musée
AEProgramMode	Night Scene	Nocturne
AEProgramMode	Night Scene Portrait	Portrait nocturne
AEProgramMode	No Flash	Sans flash
AEProgramMode	Pet	Animaux de compagnie
AEProgramMode	Sunset	Coucher de soleil
AEProgramMode	Surf & Snow	Surf et neige
AEProgramMode	Sv or Green Mode	Sv ou mode vert
AEProgramMode	Text	Texte
AESetting	AE Lock	Verrouillage de l'exposition automatique
AESetting	AE Lock + Exposure Comp.	Verrouillage de l'exposition automatique+Compensations d'exposition
AESetting	Exposure Compensation	Compensations d'exposition
AESetting	No AE	Pas d'exposition automatique
AESetting	Normal AE	Exposition automatique normale
AFAreaIllumination	Off	Désactivé
AFAreaIllumination	On	Activé
AFAreaMode	1-area	Mise au point 1 zone
AFAreaMode	1-area (high speed)	Mise au point 1 zone (haute vitesse)
AFAreaMode	225-area	Zone 225
AFAreaMode	23-area	Zone 23
AFAreaMode	3-area (center)?	Mise au point 3 zones (au centre) ?
AFAreaMode	3-area (high speed)	Mise au point 3 zones (haute vitesse)
AFAreaMode	3-area (left)?	Mise au point 3 zones (à gauche) ?
AFAreaMode	3-area (right)?	Mise au point 3 zones (à droite) ?
AFAreaMode	3D-tracking	Suivi en 3D
AFAreaMode	49-area	Zone 49
AFAreaMode	5-area	Mise au point 5 zones
AFAreaMode	9-area	Mise au point 9 zones
AFAreaMode	AF Point Expansion (4 point)	Extension du point AF (4 points)
AFAreaMode	AF Point Expansion (8 point)	Extension du point AF (8 points)
AFAreaMode	AF Point Expansion (surround)	Extension du point AF (surround)
AFAreaMode	Animal Eye Tracking	Suivi de l'œil des animaux
AFAreaMode	Auto (Animals)	Auto (Animaux)
AFAreaMode	Auto (People)	Auto (Personnes)
AFAreaMode	Auto-area	Zone auto
AFAreaMode	Center	Centré
AFAreaMode	Contrast-detect	Détection de contraste
AFAreaMode	Contrast-detect (face priority)	Détection de contraste (priorité au visage)
AFAreaMode	Contrast-detect (normal area)	Détection de contraste (zone normale)
AFAreaMode	Contrast-detect (subject tracking)	Détection de contraste (suivi du sujet)
AFAreaMode	Contrast-detect (wide area)	Détection de contraste (large zone)
AFAreaMode	Default	Par défaut
AFAreaMode	Dynamic	Dynamique
AFAreaMode	Dynamic Area	Zone dynamique
AFAreaMode	Dynamic Area (21 points)	Zone dynamique (21 points)
AFAreaMode	Dynamic Area (25 points)	Zone dynamique (25 points)
AFAreaMode	Dynamic Area (3D-tracking)	Zone dynamique (suivi 3D)
AFAreaMode	Dynamic Area (49 points)	Zone dynamique (49 points)
AFAreaMode	Dynamic Area (51 points)	Zone dynamique (51 points)
AFAreaMode	Dynamic Area (51 points, 3D-tracking)	Zone dynamique (51 points, suivi 3D)
AFAreaMode	Dynamic Area (72 points)	Zone dynamique (72 points)
AFAreaMode	Dynamic Area (9 points)	Zone dynamique (9 points)
AFAreaMode	Dynamic Area (L)	Zone dynamique (L)
AFAreaMode	Dynamic Area (M)	Zone dynamique (M)
AFAreaMode	Dynamic Area (S)	Zone dynamique (S)
AFAreaMode	Dynamic Area (closest subject)	Zone dynamique (sujet le plus proche)
AFAreaMode	Dynamic Area (wide)	Zone dynamique (large)
AFAreaMode	Dynamic Area (wide, 3D-tracking)	Zone dynamique (large, suivi 3D)
AFAreaMode	Dynamic-area	Zone dynamique
AFAreaMode	Expanded Flexible Spot	Spot flexible étendu
AFAreaMode	Face + Tracking	Visage + suivi
AFAreaMode	Face Detect	Détection de visage
