APE	Genre	Electronic	Electronic
Canon	SelfTimer	Off	Off
Casio	BestShotMode	Off	Off
Composite	ShootingMode	Aperture-priority AE	Priorità diaframma
Composite	ShootingMode	Program AE	Programma AE
EXE	CPUByteOrder	Big endian	Big endian
MIE-Camera	ExposureMode	Manual	Manual
MIE-Camera	ShootingMode	Manual	Manual
Minolta	WhiteBalance	Auto	Auto
Nikon	NoiseReduction	Off	Off
Nikon	Saturation	Normal	Normal
Nikon	WhiteBalance	Auto	Auto
Pentax	DriveMode	Video; n/a; Shutter Button; Video	Video; n/d; Shutter Button; Video
Pentax	FlashMode	Off, Did not fire; Internal	Spendo, non emesso; Internal
Pentax	PictureMode	Aperture Priority; 1/3 EV steps	Aperture Priority; Step 1/3 EV
Pentax	PictureMode	Video (4); 1/3 EV steps	Video (4); Step 1/3 EV
Sigma	AFPoint	Center	Center
Sigma	WhiteBalance	Auto	Auto
SigmaRaw	FlashMode	Off	Off
XMP-plus	ImageAlterationConstraints	No Cropping, No Flipping, No Retouching, No Colorization, No De-Colorization, No Merging	No Cropping, No Flipping, No Retouching, No Colorization, No De-Colorization, Nessuna fusione
ZIP	Flags	FileName, Comment	Nome file, Comment
