AEBAutoCancel	Off	Spento
AEBSequenceAutoCancel	-,0,+/Disabled	-,0,+/Disabilitato
AEBSequenceAutoCancel	-,0,+/Enabled	-,0,+/Abilitato
AEBSequenceAutoCancel	0,-,+/Disabled	0,-,+/Disabilitato
AEBSequenceAutoCancel	0,-,+/Enabled	0,-,+/Abilitato
AEFlags	AE lock	Blocco esposizione automatica
AEFlags	Aperture wide open	Diaframma molto aperto
AEFlags	Flash recommended?	Flash consigliato?
AELExposureIndicator	Not Indicated	Non indicato
AELock	Off	Spento
AELock	On	Acceso
AELockButton	Flash Off	Flash spento
AELockButton	None	Nessuno
AELockButton	Preview	Anteprima
AELockButton	Virtual Horizon	Orizzonte virtuale
AELockButtonPlusDials	Choose Image Area	Seleziona area immagine
AELockButtonPlusDials	None	Nessuno
AEMeteringMode	Center-weighted average	Media centrale ponderata
AEMeteringMode	Multi-segment	Multi zona
AEMicroadjustment	Enable	Abilita
AEProgramMode	Kids	Bambini
AEProgramMode	Landscape	Orizzontale
AEProgramMode	No Flash	No flash
AEProgramMode	Portrait	Verticale
AEProgramMode	Program	Programma
AEProgramMode	Sunset	Tramonto
AEProgramMode	Text	Testo
AESetting	Exposure Compensation	Compensazione esposizione
AFAndMeteringButtons	No function	Nessuna funzione
AFAreaIllumination	Off	Spento
AFAreaMode	Dynamic Area	Area Dinamica
AFAreaMode	Dynamic Area (closest subject)	Area Dinamica più Vicina al Soggetto
AFAreaMode	Group Dynamic	Gruppo Dinamico
AFAreaMode	Local	Locale
AFAreaMode	Off (Manual Focus)	Spento (focus manuale)
AFAreaMode	Single Area	Area Singola
AFAssist	Off	Spento
AFDuringLiveView	Enable	Abilita
AFDuringLiveView	Quick mode	Modo veloce
AFFineTune	Off	Spento
AFIlluminator	Off	Spento
AFIlluminator	n/a	n/d
AFMode	Off	Spento
AFMode	n/a	n/d
AFOnAELockButtonSwitch	Enable	Abilita
AFPoint	(none)	(nessuno)
AFPoint	Bottom	Basso
AFPoint	Center	Centro
AFPoint	Far Left	Tutto a sinistra
AFPoint	Far Right	Tutto a destra
AFPoint	Left	Sinistra
AFPoint	Lower-left	Inferiore sinistro
AFPoint	Lower-right	Inferiore destro
AFPoint	Mid-left	Centro/Sinistra
AFPoint	Mid-right	Centro/Destra
AFPoint	None	Nessuno
AFPoint	Right	Destra
AFPoint	Right (horizontal)	Destra (orizzontale)
AFPoint	Right (vertical)	Destra (verticale)
AFPoint	Top	Alto
AFPoint	Upper-left	Superiore sinistro
AFPoint	Upper-right	Superiore destro
AFPointActivationArea	Expanded	Espanso
AFPointAreaExpansion	Enable	Abilita
AFPointBrightness	Low	Basso
AFPointBrightness	Normal	Normale
AFPointDisplayDuringFocus	Off	Spento
AFPointIllumination	Off	Spento
AFPointMode	Fixed Center	Centro fisso
AFPointMode	Select	Seleziona
AFPointRegistration	Bottom	Basso
AFPointRegistration	Center	Centro
AFPointRegistration	Extreme Left	Tutto a Sinistra
AFPointRegistration	Extreme Right	Tutto a Destra
AFPointRegistration	Left	Sinistra
AFPointRegistration	Right	Destra
AFPointRegistration	Top	Alto
AFPointSelected	Bottom	Basso
AFPointSelected	Center	Centro
AFPointSelected	Far Left	Tutto a sinistra
AFPointSelected	Far Right	Tutto a destra
AFPointSelected	Fixed Center	Centro fisso
AFPointSelected	Left	Sinistra
AFPointSelected	None	Nessuno
AFPointSelected	Right	Destra
AFPointSelected	Top	Alto
AFPointSelected2	Center	Centro
AFPointSelected2	Left	Sinistra
AFPointSelected2	Right	Destra
AFPointSelection	11 Points	11 punti
AFPointSelectionMethod	Normal	Normale
AFPoints	Center	Centro
AFPoints	Left	Sinistra
AFPoints	Right	Destra
AFPointsInFocus	Bottom	Basso
AFPointsInFocus	Center	Centro
AFPointsInFocus	Far Left	Tutto a sinistra
AFPointsInFocus	Far Right	Tutto a destra
AFPointsInFocus	Left	Sinistra
AFPointsInFocus	Lower-left	Inferiore sinistro
AFPointsInFocus	Lower-right	Inferiore destro
AFPointsInFocus	None	Nessuno
AFPointsInFocus	Right	Destra
AFPointsInFocus	Top	Alto
AFPointsInFocus	Upper-left	Superiore sinistro
AFPointsInFocus	Upper-right	Superiore destro
AFPointsInFocus5D	Center	Centro
AFPointsInFocus5D	Left	Sinistra
AFPointsInFocus5D	Right	Destra
AFPointsUnknown1	Center	Centro
AFPointsUnknown1	Left	Sinistra
AFPointsUnknown1	Right	Destra
AFPointsUnknown2	Center	Centro
AFPointsUnknown2	Left	Sinistra
AFPointsUnknown2	Right	Destra
AFPointsUsed	Bottom	Basso
AFPointsUsed	Center	Centro
AFPointsUsed	Far Left	Tutto a sinistra
AFPointsUsed	Far Right	Tutto a destra
AFPointsUsed	Lower-left	Inferiore sinistro
AFPointsUsed	Lower-right	Inferiore destro
AFPointsUsed	Top	Alto
AFPointsUsed	Upper-left	Superiore sinistro
