Canon	SelfTimer	Off	Off
CanonCustom	AFMicroadjustment	Disable; 0; 0; 0; 0	しない; 0; 0; 0; 0
CanonCustom	ApertureRange	Disable; Closed 91; Open 1	しない; Closed 91; Open 1
CanonCustom	ApplyShootingMeteringMode	Disable; 0; 0; 3; 112; 48; 0; 0	しない; 0; 0; 3; 112; 48; 0; 0
CanonCustom	ContinuousShootingSpeed	Disable; Hi 10; Lo 3	しない; Hi 10; Lo 3
CanonCustom	ContinuousShotLimit	Disable; 99 shots	しない; 99 shots
CanonCustom	ISOSpeedRange	Disable; Max 3200; Min 100	しない; Max 3200; Min 100
CanonCustom	ShutterSpeedRange	Disable; Hi 1/8192; Lo 32	しない; Hi 1/8192; Lo 32
CanonCustom	TimerLength	Disable; 6 s: 6; 16 s: 16; After release: 2	しない; 6 s: 6; 16 s: 16; After release: 2
CanonCustom	UsableMeteringModes	Disable; Flags 0xf0	しない; Flags 0xf0
CanonCustom	UsableShootingModes	Disable; Flags 0xfc	しない; Flags 0xfc
Casio	BestShotMode	Off	Off
Composite	ShootingMode	Aperture-priority AE	絞り優先
Composite	ShootingMode	Program AE	プログラムAE
Kodak	ISOSetting	Auto	Auto
MIE-Camera	ExposureMode	Manual	Manual
MIE-Camera	ShootingMode	Manual	Manual
Minolta	ImageStabilization	On	On
Minolta	WhiteBalance	Auto	Auto
Nikon	NoiseReduction	Off	Off
Nikon	Quality	Fine	Fine
Nikon	Saturation	Normal	Normal
Nikon	WhiteBalance	Auto	Auto
Olympus	DriveMode	Single Shot	Single Shot
Olympus	ImageStabilization	On, Mode 2	On, Mode 2
Pentax	DriveMode	Single-frame; No Timer; Shutter Button; Single Exposure	1コマ撮影; タイマー無し; シャッターボタン; シングル露出
Pentax	DriveMode	Video; n/a; Shutter Button; Video	Video; n/a; シャッターボタン; Video
Pentax	FlashMode	Off, Did not fire; Internal	オフ; 内蔵
Pentax	PictureMode	Aperture Priority; 1/3 EV steps	絞り優先; 1/3 EVステップ
Pentax	PictureMode	Video (4); 1/3 EV steps	Video (4); 1/3 EVステップ
Sigma	AFPoint	Center	Center
Sigma	WhiteBalance	Auto	Auto
SigmaRaw	FlashMode	Off	Off
