AEBAutoCancel	Off	オフ
AEBAutoCancel	On	オン
AEBSequenceAutoCancel	-,0,+/Disabled	－→0 →＋/しない
AEBSequenceAutoCancel	-,0,+/Enabled	－→0 →＋/する
AEBSequenceAutoCancel	0,-,+/Disabled	0 →－→＋/しない
AEBSequenceAutoCancel	0,-,+/Enabled	0 →－→＋/する
AELock	Off	オフ
AELock	On	オン
AELockButton	AE-L/AF Area	AE-L/AFエリア
AELockButton	AE-L/AF-L/AF Area	AE-L/AF-L/AFエリア
AELockButton	AF-L/AF Area	AF-L/AFエリア
AELockButton	AF-ON/AF Area	AFオン/AFエリア
AELockButton	FV Lock	FVロック
AELockButton	Focus Area Selection	フォーカスエリア選択
AEMeteringMode	Multi-segment	パターン
AEProgramMode	Av, B or X	Av, BかX
AEProgramMode	Candlelight	キャンドルライト
AEProgramMode	DOF Program	深度優先プログラム
AEProgramMode	DOF Program (P-Shift)	深度優先プログラム（Pシフト）
AEProgramMode	Hi-speed Program	高速優先プログラム
AEProgramMode	Hi-speed Program (P-Shift)	高速優先プログラム（Pシフト）
AEProgramMode	Kids	キッズ
AEProgramMode	Landscape	風景
AEProgramMode	M, P or TAv	M, PかTAv
AEProgramMode	MTF Program	MTF優先プログラム
AEProgramMode	MTF Program (P-Shift)	MTF優先プログラム（Pシフト）
AEProgramMode	Macro	マクロ
AEProgramMode	Museum	ミュージアム
AEProgramMode	Night Scene	夜景
AEProgramMode	Night Scene Portrait	人物、夜景
AEProgramMode	No Flash	フラッシュ無し
AEProgramMode	Pet	ペット
AEProgramMode	Portrait	ポートレート
AEProgramMode	Sport	スポーツ
AEProgramMode	Standard	スタンダード
AEProgramMode	Sunset	夕日
AEProgramMode	Surf & Snow	サーフ＆スノー
AEProgramMode	Sv or Green Mode	Svかグリーンモード
AEProgramMode	Text	テキスト
AESetting	Exposure Compensation	露出補正
AF-CPrioritySelection	Focus	フォーカス
AF-CPrioritySelection	Release	レリーズ
AF-CPrioritySelection	Release + Focus	レリーズ+フォーカス
AF-OnForMB-D10	AE Lock (hold)	AEロック（ホールド）
