AELock	Off	꺼짐
AELock	On	켜짐
AELockButton	AE Lock (hold)	AE 고정(유지)
AELockButton	AE Lock Only	AE 고정
AELockButton	AE/AF Lock	AE/AF 고정
AELockButton	AF Lock Only	AF 고정
AF-CPrioritySelection	Focus	포커스
AF-CPrioritySelection	Release	릴리즈
AF-CPrioritySelection	Release + Focus	릴리즈 + 포커스
AF-OnForMB-D10	AE Lock (hold)	AE 고정 (유지)
AF-OnForMB-D10	AE Lock (reset on release)	AE 고정 (릴리즈때 리셋)
AF-OnForMB-D10	AE Lock Only	AE 고정
AF-OnForMB-D10	AE/AF Lock	AE/AF 고정
AF-OnForMB-D10	AF Lock Only	AF 고정
AF-OnForMB-D10	AF-On	AF-ON
AF-OnForMB-D10	Same as FUNC Button	FUNC 버튼과 같음
AF-SPrioritySelection	Focus	포커스
AF-SPrioritySelection	Release	릴리즈
AFActivation	AF-On Only	AF-ON 고정
AFActivation	Shutter/AF-On	셔터/AF-ON
AFAreaIllumination	Auto	자동
AFAreaIllumination	Off	꺼짐
AFAreaIllumination	On	켜짐
AFAreaMode	Auto-area	자동 영역 AF
AFAreaMode	Dynamic Area	다이내믹 영역
AFAreaMode	Dynamic Area (closest subject)	다이내믹 영역 (지근거리 우선)
AFAreaMode	Dynamic Area (wide)	다이내믹 영역 (와이드)
AFAreaMode	Group Dynamic	그룹 다이내믹
AFAreaMode	Single Area	싱글 영역
AFAreaMode	Single Area (wide)	싱글 영역 (와이드)
AFAreaModeSetting	Closest Subject	접사
AFAreaModeSetting	Dynamic Area	다이내믹 영역
AFAreaModeSetting	Single Area	싱글 영역
AFAssist	Off	꺼짐
AFAssist	On	켜짐
AFPoint	Bottom	하단
AFPoint	Center	중앙
AFPoint	Far Left	맨 좌측
AFPoint	Far Right	맨 우측
AFPoint	Left	왼쪽
AFPoint	Lower-left	좌하단
AFPoint	Lower-right	우하단
AFPoint	Mid-left	왼쪽
AFPoint	Mid-right	오른쪽
AFPoint	Right	오른쪽
AFPoint	Top	상단
AFPoint	Upper-left	좌상단
AFPoint	Upper-right	우상단
AFPointIllumination	Auto	자동
AFPointIllumination	Off	꺼짐
AFPointIllumination	On	켜짐
AFPointMode	Auto	자동
AFPointSelected	Auto	자동
AFPointSelected2	Auto	자동
AFPointSelection	11 Points	11 포인트
AFPointSelection	51 Points	51 포인트
AFPointsInFocus	Far Left	맨 좌측
AFPointsInFocus	Far Right	맨 우측
AFPointsInFocus	Lower-left	좌하단
AFPointsInFocus	Lower-right	우하단
AFPointsInFocus	Upper-left	좌상단
AFPointsInFocus	Upper-right	우상단
AFPointsUnknown2	Auto	자동
AFPointsUsed	Bottom	하단
AFPointsUsed	Center	중앙
AFPointsUsed	Far Left	맨 좌측
AFPointsUsed	Far Right	맨 우측
AFPointsUsed	Lower-left	좌하단
AFPointsUsed	Lower-right	우하단
AFPointsUsed	Top	상단
AFPointsUsed	Upper-left	좌상단
AFPointsUsed	Upper-right	우상단
ActiveD-Lighting	Off	꺼짐
ActiveD-Lighting	On	켜짐
ActiveD-LightingMode	Off	꺼짐
AddAspectRatioInfo	Off	꺼짐
AddOriginalDecisionData	Off	꺼짐
AddOriginalDecisionData	On	켜짐
