AEBAutoCancel	Off	Uit
AEBAutoCancel	On	Aan
AELock	Off	Uit
AELock	On	Aan
AELockButton	AE Lock (hold)	AE-vergrendeling vast
AELockButton	AE Lock Only	AE-vergrendeling
AELockButton	AE-L/AF Area	AE-L/AF veld
AELockButton	AE-L/AF-L/AF Area	AE-L/AF-L/AF veld
AELockButton	AE/AF Lock	AE/AF-vergrendeling
AELockButton	AF Lock Only	AF-vergrendeling
AELockButton	AF-L/AF Area	AF-L/AF veld
AELockButton	AF-ON/AF Area	AF-ON/AF veld
AELockButton	FV Lock	FV-vergrendeling
AELockButton	Focus Area Selection	AF-veld
AEMeteringMode	Multi-segment	Multi segment
AEProgramMode	Landscape	Landschap
AEProgramMode	Portrait	Portret
AEProgramMode	Standard	Standaard
AF-CPrioritySelection	Focus	Scherpstelling
AF-CPrioritySelection	Release	Ontspannen
AF-CPrioritySelection	Release + Focus	Ontspannen + scherpstelling
AF-OnForMB-D10	AE Lock (hold)	AE-vergrendeling (vast)
AF-OnForMB-D10	AE Lock (reset on release)	AE-vergr. (herstel na ontspan.)
AF-OnForMB-D10	AE Lock Only	AE-vergrendeling
AF-OnForMB-D10	AE/AF Lock	AE/AF-vergrendeling
AF-OnForMB-D10	AF Lock Only	AF-vergrendeling
AF-OnForMB-D10	AF-On	AF-ON
AF-OnForMB-D10	Same as FUNC Button	Zelfde als FUNC.-knop
AF-SPrioritySelection	Focus	Scherpstelling
AF-SPrioritySelection	Release	Ontspannen
AFActivation	AF-On Only	Alleen AF-ON
AFActivation	Shutter/AF-On	Ontspanknop/AF-ON
AFAreaIllumination	Auto	Automatisch
AFAreaIllumination	Off	Uit
AFAreaIllumination	On	Aan
AFAreaMode	Auto-area	Automatischveld AF
AFAreaMode	Dynamic Area	Dynamisch veld
AFAreaMode	Single Area	Enkelveld
AFAreaModeSetting	Closest Subject	Dichtstbz. onderw.
AFAreaModeSetting	Dynamic Area	Dynamisch veld
AFAreaModeSetting	Single Area	Enkelveld
AFAssist	Off	Uit
AFAssist	On	Aan
AFPoint	None	Geen
AFPointActivationArea	Standard	Standaard
AFPointBrightness	Normal	Normaal
AFPointDisplayDuringFocus	Off	Uit
AFPointDisplayDuringFocus	On	Aan
AFPointIllumination	Auto	Automatisch
AFPointIllumination	Off	Uit
AFPointIllumination	On	Aan
AFPointMode	Auto	Automatisch
AFPointRegistration	Automatic	Automatisch
AFPointSelected	Auto	Automatisch
AFPointSelected2	Auto	Automatisch
AFPointSelection	11 Points	11 punten
AFPointSelection	51 Points	51 punten (3D-tracking)
AFPointSelectionMethod	Normal	Normaal
AFPointsInFocus	None	Geen
AFPointsUnknown2	Auto	Automatisch
AIServoTrackingSensitivity	Standard	Standaard
ActionAdvised	Object Append	Object toevoegen
ActionAdvised	Object Kill	Object verwijderen
ActionAdvised	Object Reference	Object referentie
ActionAdvised	Object Replace	Object vervangen
ActionAdvised	Ojbect Append	Object toevoegen
ActiveD-Lighting	High	Hoog
ActiveD-Lighting	Low	Laag
ActiveD-Lighting	Normal	Normaal
ActiveD-Lighting	Off	Uit
ActiveD-Lighting	On	Aan
ActiveD-LightingMode	High	Hoog
ActiveD-LightingMode	Low	Laag
ActiveD-LightingMode	Normal	Normaal
ActiveD-LightingMode	Off	Uit
AddAspectRatioInfo	Off	Uit
AddOriginalDecisionData	Off	Uit
AddOriginalDecisionData	On	Aan
AdultContentWarning	Unknown	Onbekend
AdvancedRaw	Off	Uit
AdvancedRaw	On	Aan
AlphaDataDiscard	Flexbits Discarded	Afgedankte flexbits
AlphaDataDiscard	Full Resolution	Volledige resolutie
AlphaDataDiscard	HighPass Frequency Data Discarded	Afgedankte hoogdoorlaat frequentiegegevens
AlphaDataDiscard	Highpass and LowPass Frequency Data Discarded	Afgedankte hoogdoorlaat en laagdoorlaat frequentiegegevens
Anti-Blur	Off	Uit
AssistButtonFunction	Normal	Normaal
Audio	No	Nee
Audio	Yes	Ja
AudioType	Mono Actuality	Actualiteit (mono (1 kanaal) audio)
