AELock	Off	Wyłączona
AELock	On	Włączona
AFPoint	None	Brak
AFPointSelected	Auto	Automatyczny
AFPointSelected	Automatic Tracking AF	Śledzący AF
AFPointSelected	Bottom	Dolny
AFPointSelected	Center	Centralny
AFPointSelected	Face Detect AF	Wykrywanie twarzy
AFPointSelected	Fixed Center	Centralny
AFPointSelected	Left	Lewy
AFPointSelected	Lower-left	Dolny-lewy
AFPointSelected	Lower-right	Dolny-prawy
AFPointSelected	Mid-left	Środek-lewy
AFPointSelected	Mid-right	Środek-prawy
AFPointSelected	Right	Prawy
AFPointSelected	Top	Górny
AFPointSelected	Upper-left	Górny-lewy
AFPointSelected	Upper-right	Górny-prawy
AFPointsInFocus	Bottom-center	Dolny-centralny
AFPointsInFocus	Bottom-left	Dolny-lewy
AFPointsInFocus	Bottom-right	Dolny-prawy
AFPointsInFocus	Center	Centralny
AFPointsInFocus	Fixed Center or Multiple	Centralny lub wiele
AFPointsInFocus	Left	Lewy
AFPointsInFocus	None	Brak
AFPointsInFocus	Right	Prawy
AFPointsInFocus	Top-center	Górny-centralny
AFPointsInFocus	Top-left	Górny-lewy
AFPointsInFocus	Top-right	Górny-prawy
AutoRotate	None	Brak
AutoRotate	Rotate 180	180° (dół/prawo)
AutoRotate	Rotate 270 CW	90° CW (lewo/dół)
AutoRotate	Rotate 90 CW	90° CCW (prawo/góra)
BannerImageType	None	Brak
BlurWarning	None	Brak
CPUType	None	Brak
CalibrationIlluminant1	Cloudy	Zachmurzone niebo
CalibrationIlluminant1	Cool White Fluorescent	Zimna biała jarzeniówka (W 3800 - 4500K)
CalibrationIlluminant1	Day White Fluorescent	Jarzeniówka z naturalnym białym światłem (N 4600 - 5500K)
CalibrationIlluminant1	Daylight	Światło dzienne
CalibrationIlluminant1	Daylight Fluorescent	Jarzeniówka dająca światło dzienne (D 5700 - 7100K)
CalibrationIlluminant1	Fine Weather	Dobra pogoda
CalibrationIlluminant1	Flash	Lampa błyskowa
CalibrationIlluminant1	Fluorescent	Jarzeniowy
CalibrationIlluminant1	ISO Studio Tungsten	ISO dla studyjnych lamp żarowych
CalibrationIlluminant1	Other	Inne źródło światła
CalibrationIlluminant1	Shade	Cień
CalibrationIlluminant1	Standard Light A	Standardowe światło A
CalibrationIlluminant1	Standard Light B	Standardowe światło B
CalibrationIlluminant1	Standard Light C	Standardowe światło C
CalibrationIlluminant1	Tungsten (Incandescent)	Światło żarowe
CalibrationIlluminant1	Unknown	Nieznane
CalibrationIlluminant1	White Fluorescent	Biała jarzeniówka (WW3250 - 3800K)
CalibrationIlluminant2	Cloudy	Zachmurzone niebo
CalibrationIlluminant2	Cool White Fluorescent	Zimna biała jarzeniówka (W 3800 - 4500K)
CalibrationIlluminant2	Day White Fluorescent	Jarzeniówka z naturalnym białym światłem (N 4600 - 5500K)
CalibrationIlluminant2	Daylight	Światło dzienne
CalibrationIlluminant2	Daylight Fluorescent	Jarzeniówka dająca światło dzienne (D 5700 - 7100K)
CalibrationIlluminant2	Fine Weather	Dobra pogoda
CalibrationIlluminant2	Flash	Lampa błyskowa
CalibrationIlluminant2	Fluorescent	Jarzeniowy
CalibrationIlluminant2	ISO Studio Tungsten	ISO dla studyjnych lamp żarowych
CalibrationIlluminant2	Other	Inne źródło światła
CalibrationIlluminant2	Shade	Cień
CalibrationIlluminant2	Standard Light A	Standardowe światło A
CalibrationIlluminant2	Standard Light B	Standardowe światło B
CalibrationIlluminant2	Standard Light C	Standardowe światło C
CalibrationIlluminant2	Tungsten (Incandescent)	Światło żarowe
CalibrationIlluminant2	Unknown	Nieznane
CalibrationIlluminant2	White Fluorescent	Biała jarzeniówka (WW3250 - 3800K)
CameraOrientation	Horizontal (normal)	0° (góra/lewo)
CameraOrientation	Rotate 270 CW	90° CW (lewo/dół)
CameraOrientation	Rotate 90 CW	90° CCW (prawo/góra)
CleanFaxData	Clean	Dobry
CleanFaxData	Regenerated	Ponowiony
CleanFaxData	Unclean	Niedobry
CodingMethods	Baseline JPEG	JPEG podstawowa
CodingMethods	JBIG color	JBIG kolor
CodingMethods	Modified Huffman	Huffmana zmodyfikowana
CodingMethods	Modified MR	Zmodyfikowany MR
CodingMethods	Modified Read	Zmodyfikowany odczyt
CodingMethods	Unspecified compression	Nie podane
ColorSpace	Uncalibrated	Nie skalibrowany
Compression	Epson ERF Compressed	Skompresowany Epson ERF
Compression	JBIG B&W	JBIG Czarno Biały
Compression	JBIG Color	JBIG Kolorowy
Compression	JPEG	Kompresja JPEG
Compression	JPEG (old-style)	JPEG (w starym stylu)
Compression	Kodak DCR Compressed	Skompresowany Kodak DCR
Compression	Kodak KDC Compressed	Skompresowany Kodak KDC
Compression	Next	Kodowanie 2-bitowe NeXT
Compression	Nikon NEF Compressed	Skompresowany Nikon NEF
Compression	None	Brak
Compression	Packed RAW	Spakowany RAW
Compression	Pentax PEF Compressed	Skompresowany Pentax PEF
Compression	SGILog	Kodowanie 32-bitowe SGI Log Luminance
Compression	SGILog24	Kodowanie 24-bitowe SGI Log Luminance
Compression	Samsung SRW Compressed	Skompresowany Samsung SRW
Compression	Sony ARW Compressed	Skompresowany Sony ARW
