AIRulerUnits	Centimeters	Сантиметры
AIRulerUnits	Inches	Дюймы
AIRulerUnits	Millimeters	Милиметры
AIRulerUnits	Picas	Пики
AIRulerUnits	Pixels	Пиксели
AIRulerUnits	Points	Точки
ATSCContent	No	Нет
ATSCContent	Yes	Да
ActionAdvised	Object Append	Добавить объект
ActionAdvised	Object Kill	Уничтожить объект
ActionAdvised	Object Reference	Сделать ссылку на объект
ActionAdvised	Object Replace	Заменить объект
AdultContentWarning	Adult Content Warning Required	Требуется
AdultContentWarning	Not Required	Не требуется
AdultContentWarning	Unknown	Не задано
AdvancedSceneMode	Architecture	Архитектура
AdvancedSceneMode	Bleach Bypass	Удержание серебра
AdvancedSceneMode	Cinema	Кино
AdvancedSceneMode	Color Select	Выбранный цвет
AdvancedSceneMode	Creative Macro	Творческий макро
AdvancedSceneMode	Creative Night Scenery	Творческий ночной пейзаж
AdvancedSceneMode	Creative Portrait	Творческий портрет
AdvancedSceneMode	Creative Scenery	Творческий пейзаж
AdvancedSceneMode	Creative Sports	Творческий спорт
AdvancedSceneMode	Cross Process	Кросспроцесс
AdvancedSceneMode	Dynamic Art	Динамика
AdvancedSceneMode	Dynamic Monochrome	Динамичное монохромное
AdvancedSceneMode	Elegant	Элегантный
AdvancedSceneMode	Expressive	Выразительный
AdvancedSceneMode	Fantasy	Фэнтези
AdvancedSceneMode	Flower	Цветок
AdvancedSceneMode	HDR Art	HDR
AdvancedSceneMode	HDR B&W	Чёрно-Белый HDR
AdvancedSceneMode	Handheld Night Shot	Ночная съёмка с руки
AdvancedSceneMode	High Dynamic	Высокая динамика
AdvancedSceneMode	High Key	В высоком ключе
AdvancedSceneMode	Illuminations	Свеча
AdvancedSceneMode	Impressive Art	Впечатляющий
AdvancedSceneMode	Indoor Portrait	Внутренний портрет
AdvancedSceneMode	Indoor Sports	Спорт в помещении
AdvancedSceneMode	Low Key	В низком ключе
AdvancedSceneMode	Miniature	Миниатюра
AdvancedSceneMode	Monochrome	Монохромный
AdvancedSceneMode	Nature	Природа
AdvancedSceneMode	Objects	Объекты
AdvancedSceneMode	Old Days	Старые времена
