CalibrationIlluminant1	Cloudy	Mulet
CalibrationIlluminant1	Cool White Fluorescent	Kalljusrör (W 3800 - 4500 k)
CalibrationIlluminant1	Day White Fluorescent	Dagljusrör, högdager (N 4600 - 5500k)
CalibrationIlluminant1	Daylight	Dagsljus
CalibrationIlluminant1	Daylight Fluorescent	Dagljusrör (D 5700 - 7100 k)
CalibrationIlluminant1	Fine Weather	Fint väder
CalibrationIlluminant1	Flash	Blixt
CalibrationIlluminant1	Fluorescent	Lysrörsbelysning
CalibrationIlluminant1	ISO Studio Tungsten	ISO tungsten studiobelysning
CalibrationIlluminant1	Other	Annan ljuskälla
CalibrationIlluminant1	Shade	Skugga
CalibrationIlluminant1	Standard Light A	Standardljus A
CalibrationIlluminant1	Standard Light B	Standardljus B
CalibrationIlluminant1	Standard Light C	Standardljus C
CalibrationIlluminant1	Tungsten (Incandescent)	Tungsten
CalibrationIlluminant1	Unknown	Okänt
CalibrationIlluminant1	Warm White Fluorescent	Varmt vitt fluorescerande (L 2600 - 3250k)
CalibrationIlluminant1	White Fluorescent	Vit lysrörsbelysning (WW 3250 - 3800 k)
CalibrationIlluminant2	Cloudy	Mulet
CalibrationIlluminant2	Cool White Fluorescent	Kalljusrör (W 3800 - 4500 k)
CalibrationIlluminant2	Day White Fluorescent	Dagljusrör, högdager (N 4600 - 5500k)
CalibrationIlluminant2	Daylight	Dagsljus
CalibrationIlluminant2	Daylight Fluorescent	Dagljusrör (D 5700 - 7100 k)
CalibrationIlluminant2	Fine Weather	Fint väder
CalibrationIlluminant2	Flash	Blixt
CalibrationIlluminant2	Fluorescent	Lysrörsbelysning
CalibrationIlluminant2	ISO Studio Tungsten	ISO tungsten studiobelysning
CalibrationIlluminant2	Other	Annan ljuskälla
CalibrationIlluminant2	Shade	Skugga
CalibrationIlluminant2	Standard Light A	Standardljus A
CalibrationIlluminant2	Standard Light B	Standardljus B
CalibrationIlluminant2	Standard Light C	Standardljus C
CalibrationIlluminant2	Tungsten (Incandescent)	Tungsten
CalibrationIlluminant2	Unknown	Okänt
CalibrationIlluminant2	Warm White Fluorescent	Varmt vitt fluorescerande (L 2600 - 3250k)
CalibrationIlluminant2	White Fluorescent	Vit lysrörsbelysning (WW 3250 - 3800 k)
ColorMode	Autumn Leaves	Höstlöv
ColorMode	B&W	Svartvitt
ColorMode	Clear	Klart
ColorMode	Deep	Djupt
ColorMode	Landscape	Landskap
ColorMode	Light	Ljust
ColorMode	Neutral	Neutralt
ColorMode	Night View	Nattvy
ColorMode	Night View/Portrait	Nattporträtt
ColorMode	Portrait	Porträtt
ColorMode	Sunset	Solnedgång
ColorMode	Vivid	Levande färg
ColorSpace	ICC Profile	ICC-profil
ColorSpace	Uncalibrated	Ej kalibrerat
Compression	JPEG	JPEG-komprimering
Compression	Uncompressed	Ingen komprimering
Contrast	High	Hård
Contrast	Low	Mjuk
Contrast	Normal	Standard
CustomRendered	Custom	Anpassad process
CustomRendered	Normal	Normal process
DynamicRangeOptimizer	Advanced Auto	Avancerad auto
DynamicRangeOptimizer	Advanced Lv1	Avancerad niv1
DynamicRangeOptimizer	Advanced Lv2	Avancerad niv2
DynamicRangeOptimizer	Advanced Lv3	Avancerad niv3
DynamicRangeOptimizer	Advanced Lv4	Avancerad niv4
DynamicRangeOptimizer	Advanced Lv5	Avancerad niv5
DynamicRangeOptimizer	Auto	Automatisk
DynamicRangeOptimizer	Off	Av
ExposureMode	Auto	Automatisk exponering
ExposureMode	Auto bracket	Automatisk alternativexponering
