CalibrationIlluminant1	Cloudy	Bulutlu Hava
CalibrationIlluminant1	Cool White Fluorescent	Soğuk beyaz floresan (W 3800 - 4500K)
CalibrationIlluminant1	Day White Fluorescent	Gün beyaz floresan (N 4600 - 5500K)
CalibrationIlluminant1	Daylight	Günışığı
CalibrationIlluminant1	Daylight Fluorescent	Günışığı floresan (D 5700 - 7100K)
CalibrationIlluminant1	Fine Weather	İyi hava
CalibrationIlluminant1	Flash	Flaş
CalibrationIlluminant1	Fluorescent	Floresan
CalibrationIlluminant1	ISO Studio Tungsten	ISO stüdyo tungsten
CalibrationIlluminant1	Other	Diğer ışık kaynağı
CalibrationIlluminant1	Shade	Gölge
CalibrationIlluminant1	Standard Light A	Standard Işık A
CalibrationIlluminant1	Standard Light B	Standard Işık B
CalibrationIlluminant1	Standard Light C	Standard Işık C
CalibrationIlluminant1	Tungsten (Incandescent)	Tungsten
CalibrationIlluminant1	Unknown	Bilinmeyen
CalibrationIlluminant1	White Fluorescent	Beyaz floresan (WW 3250 - 3800K)
CalibrationIlluminant2	Cloudy	Bulutlu Hava
CalibrationIlluminant2	Cool White Fluorescent	Soğuk beyaz floresan (W 3800 - 4500K)
CalibrationIlluminant2	Day White Fluorescent	Gün beyaz floresan (N 4600 - 5500K)
CalibrationIlluminant2	Daylight	Günışığı
CalibrationIlluminant2	Daylight Fluorescent	Günışığı floresan (D 5700 - 7100K)
CalibrationIlluminant2	Fine Weather	İyi hava
CalibrationIlluminant2	Flash	Flaş
CalibrationIlluminant2	Fluorescent	Floresan
CalibrationIlluminant2	ISO Studio Tungsten	ISO stüdyo tungsten
CalibrationIlluminant2	Other	Diğer ışık kaynağı
CalibrationIlluminant2	Shade	Gölge
CalibrationIlluminant2	Standard Light A	Standard Işık A
CalibrationIlluminant2	Standard Light B	Standard Işık B
CalibrationIlluminant2	Standard Light C	Standard Işık C
CalibrationIlluminant2	Tungsten (Incandescent)	Tungsten
CalibrationIlluminant2	Unknown	Bilinmeyen
CalibrationIlluminant2	White Fluorescent	Beyaz floresan (WW 3250 - 3800K)
ColorSpace	Uncalibrated	Kalibre edilmemiş
Compression	JPEG	JPEG Sıkıştırma
Compression	Uncompressed	Sıkıştırılmamış
Contrast	High	Sert
Contrast	Low	Yumuşak
Contrast	Normal	Standard
CustomRendered	Custom	Özel işlem
CustomRendered	Normal	Normal işlem
ExposureMode	Auto	Otomatik
ExposureMode	Auto bracket	Otomatik çerçeve
ExposureMode	Manual	Manuel pozlama
ExposureProgram	Action (High speed)	Hareket programı
ExposureProgram	Aperture-priority AE	Apertür önceliği
ExposureProgram	Bulb	Ampul
ExposureProgram	Creative (Slow speed)	Yaratıcı program
ExposureProgram	Landscape	Manzara
ExposureProgram	Manual	Manuel Pozlama
ExposureProgram	Portrait	Portre
ExposureProgram	Program AE	Normal program
ExposureProgram	Shutter speed priority AE	Deklanşör önceliği
FaceOrientation	Horizontal (normal)	Pozitif yön
FaceOrientation	Rotate 90 CW	Saat yönünde 90° döndür
FileSource	Digital Camera	DSC
FileSource	Film Scanner	Transparan tip tarayıcı
FileSource	Reflection Print Scanner	Refleks tipi tarayıcı
Flash	Auto, Fired	AÇIK (Otom-flaş)
Flash	Auto, Fired, Red-eye reduction	"AÇIK (Otom-flaş, Kırmızı-Göz Azaltma)"
Flash	Auto, Fired, Red-eye reduction, Return detected	"AÇIK (Otom-flaş, Kırmızı-Göz Azaltma, Geri dönen ışık bulundu)"
Flash	Auto, Fired, Return detected	"AÇIK (Otom-flaş, Geri dönen ışık bulundu)"
Flash	Did not fire	Flaş patlamadı
Flash	Fired	Flaş patladı
Flash	Fired, Red-eye reduction	AÇIK (Kırmızı-Göz Azaltma)
Flash	Fired, Red-eye reduction, Return detected	"AÇIK (Kırmızı-Göz Azaltma, Geri dönen ışık bulundu)"
Flash	Fired, Return detected	AÇIK (Geri dönen ışık bulundu)
Flash	No Flash	Flaş fonksiyonu yok
Flash	On, Fired	AÇIK (Doldurma)
