AEProgramMode	Landscape	风景
AEProgramMode	Portrait	人物
AFAreaIllumination	Auto	自动
AFPointIllumination	Auto	自动
AFPointMode	Auto	自动
AFPointRegistration	Automatic	自动
AFPointSelected	Auto	自动
AFPointSelected2	Auto	自动
AFPointsUnknown2	Auto	自动
AdultContentWarning	Unknown	未知
Anti-Blur	n/a	未设置
AutoLightingOptimizer	n/a	未设置
AutoRotate	Rotate 180	180° (底/右)
AutoRotate	Rotate 270 CW	90° CW (左/底)
AutoRotate	Rotate 90 CW	90° CCW (右/上)
AutoRotate	n/a	未知
BracketShotNumber	n/a	未设置
CalibrationIlluminant1	Cloudy	阴天
CalibrationIlluminant1	Cool White Fluorescent	冷白色荧光灯（W3800-4500K）
CalibrationIlluminant1	Day White Fluorescent	日光白色荧光灯（N4600-5500K）
CalibrationIlluminant1	Daylight	太阳光
CalibrationIlluminant1	Daylight Fluorescent	日光色荧光灯（D5700-7100K）
CalibrationIlluminant1	Fine Weather	晴天
CalibrationIlluminant1	Flash	闪光
CalibrationIlluminant1	Fluorescent	荧光
CalibrationIlluminant1	ISO Studio Tungsten	ISO相室白炽灯
CalibrationIlluminant1	Other	其他光源
CalibrationIlluminant1	Shade	阴影
CalibrationIlluminant1	Standard Light A	标准光A
CalibrationIlluminant1	Standard Light B	标准光B
CalibrationIlluminant1	Standard Light C	标准光C
CalibrationIlluminant1	Tungsten (Incandescent)	白炽灯
CalibrationIlluminant1	Unknown	未知
CalibrationIlluminant1	Warm White Fluorescent	暖白荧光灯（L2600-3250K）
CalibrationIlluminant1	White Fluorescent	白色荧光灯（WW3250-3800K）
CalibrationIlluminant2	Cloudy	阴天
CalibrationIlluminant2	Cool White Fluorescent	冷白色荧光灯（W3800-4500K）
CalibrationIlluminant2	Day White Fluorescent	日光白色荧光灯（N4600-5500K）
CalibrationIlluminant2	Daylight	太阳光
CalibrationIlluminant2	Daylight Fluorescent	日光色荧光灯（D5700-7100K）
CalibrationIlluminant2	Fine Weather	晴天
CalibrationIlluminant2	Flash	闪光
CalibrationIlluminant2	Fluorescent	荧光
CalibrationIlluminant2	ISO Studio Tungsten	ISO相室白炽灯
CalibrationIlluminant2	Other	其他光源
CalibrationIlluminant2	Shade	阴影
CalibrationIlluminant2	Standard Light A	标准光A
CalibrationIlluminant2	Standard Light B	标准光B
CalibrationIlluminant2	Standard Light C	标准光C
CalibrationIlluminant2	Tungsten (Incandescent)	白炽灯
CalibrationIlluminant2	Unknown	未知
CalibrationIlluminant2	Warm White Fluorescent	暖白荧光灯（L2600-3250K）
CalibrationIlluminant2	White Fluorescent	白色荧光灯（WW3250-3800K）
CameraOrientation	Horizontal (normal)	0° (上/左)
CameraOrientation	Rotate 270 CW	90° CW (左/底)
CameraOrientation	Rotate 90 CW	90° CCW (右/上)
CanonExposureMode	Aperture-priority AE	光圈优先
CanonExposureMode	Manual	手动
CanonExposureMode	Shutter speed priority AE	快门优先
CanonFlashMode	Auto	自动
CaptureXResolutionUnit	um	µm (微米)
CaptureYResolutionUnit	um	µm (微米)
ColorEffect	Sepia	怀旧深咖啡色
ColorMode	Autumn Leaves	红叶
ColorMode	B&W	黑白
ColorMode	Clear	清澈
ColorMode	Deep	深色
ColorMode	Landscape	风景
ColorMode	Light	轻淡
ColorMode	Neutral	中性
ColorMode	Night View	夜景
ColorMode	Night View/Portrait	夜晚肖像
ColorMode	Portrait	人物
ColorMode	Standard	标准
ColorMode	Sunset	黄昏
ColorMode	Vivid	生动色彩
ColorSpace	ICC Profile	色彩特性文件
ColorSpace	Uncalibrated	自发
CommanderGroupAMode	Manual	手动
CommanderGroupBMode	Manual	手动
CommanderInternalFlash	Manual	手动
Compression	JPEG	JEPG压缩率
Compression	JPEG (old-style)	JPEG (旧样式)
Compression	Kodak DCR Compressed	柯达 DCR 压缩
Compression	Kodak KDC Compressed	柯达 KDC 压缩
Compression	Next	NeXT 2比特编码
Compression	Nikon NEF Compressed	尼康 NEF 压缩
Compression	Pentax PEF Compressed	宾得 PEF 压缩
Compression	SGILog	SGI 32比特对数亮度编码
Compression	SGILog24	SGI 24比特对数亮度编码
Compression	Sony ARW Compressed	索尼 ARW 压缩
Compression	Thunderscan	ThunderScan 4比特编码
Compression	Uncompressed	未压缩
Contrast	High	硬调
Contrast	Low	软调
Contrast	Normal	标准
ControlMode	n/a	未设置
CopyrightStatus	Unknown	未知
CustomRendered	Custom	自定义处理
CustomRendered	Normal	普通模式
DisplayXResolutionUnit	um	µm (微米)
DisplayYResolutionUnit	um	µm (微米)
DynamicRangeOptimizer	Advanced Auto	高级自动
DynamicRangeOptimizer	Advanced Lv1	高级优化程度 1
DynamicRangeOptimizer	Advanced Lv2	高级优化程度 2
DynamicRangeOptimizer	Advanced Lv3	高级优化程度 3
DynamicRangeOptimizer	Advanced Lv4	高级优化程度 4
DynamicRangeOptimizer	Advanced Lv5	高级优化程度 5
DynamicRangeOptimizer	Auto	自动
DynamicRangeOptimizer	Off	关
DynamicRangeOptimizer	Standard	标准
EasyMode	Landscape	风景
EasyMode	Manual	手动
EasyMode	Night	夜景
EasyMode	Portrait	人物
ExposureMode	Aperture Priority	光圈优先
ExposureMode	Aperture-priority AE	光圈优先
ExposureMode	Auto	自动曝光
ExposureMode	Auto bracket	自动支架
ExposureMode	Landscape	风景
ExposureMode	Manual	手动曝光
ExposureMode	Portrait	人物
ExposureMode	Shutter Priority	快门优先
ExposureMode	Shutter speed priority AE	快门优先
ExposureMode	n/a	未设置
ExposureProgram	Action (High speed)	运动摄影
ExposureProgram	Aperture Priority	光圈优先
ExposureProgram	Aperture-priority AE	光圈优先
ExposureProgram	Creative (Slow speed)	创意摄影
ExposureProgram	Landscape	风景
ExposureProgram	Manual	手动
ExposureProgram	Portrait	人物
ExposureProgram	Program AE	一般程序
ExposureProgram	Shutter Priority	快门优先
ExposureProgram	Shutter speed priority AE	快门优先
ExternalFlashBounce	n/a	未设置
ExternalFlashExposureComp	n/a	未设置 (Off or Auto Modes)
ExternalFlashExposureComp	n/a (Manual Mode)	未设置 (Manual Mode)
FaceOrientation	Horizontal (normal)	0° (上/左)
FaceOrientation	Rotate 180	180° (底/右)
FaceOrientation	Rotate 270 CW	90° CW (左/底)
FaceOrientation	Rotate 90 CW	90° CCW (右/上)
