CalibrationIlluminant1	Cloudy	多雲
CalibrationIlluminant1	Cool White Fluorescent	冷白色熒光燈 (W 3800 - 4500K)
CalibrationIlluminant1	Day White Fluorescent	日光白色熒光燈 (N 4600 - 5500K)
CalibrationIlluminant1	Daylight	日光
CalibrationIlluminant1	Daylight Fluorescent	日光熒光燈 (D 5700 - 7100K)
CalibrationIlluminant1	Fine Weather	晴天
CalibrationIlluminant1	Flash	閃光燈
CalibrationIlluminant1	Fluorescent	日光燈
CalibrationIlluminant1	ISO Studio Tungsten	ISO 攝影棚鎢燈
CalibrationIlluminant1	Other	其他光源
CalibrationIlluminant1	Shade	陰天
CalibrationIlluminant1	Standard Light A	標準燈光 A
CalibrationIlluminant1	Standard Light B	標準燈光 B
CalibrationIlluminant1	Standard Light C	標準燈光 C
CalibrationIlluminant1	Tungsten (Incandescent)	鎢絲燈
CalibrationIlluminant1	Unknown	未知
CalibrationIlluminant1	Warm White Fluorescent	暖白螢光燈 (L 2600 - 3250K)
CalibrationIlluminant1	White Fluorescent	白色熒光燈 (WW 3250 - 3800K)
CalibrationIlluminant2	Cloudy	多雲
CalibrationIlluminant2	Cool White Fluorescent	冷白色熒光燈 (W 3800 - 4500K)
CalibrationIlluminant2	Day White Fluorescent	日光白色熒光燈 (N 4600 - 5500K)
CalibrationIlluminant2	Daylight	日光
CalibrationIlluminant2	Daylight Fluorescent	日光熒光燈 (D 5700 - 7100K)
CalibrationIlluminant2	Fine Weather	晴天
CalibrationIlluminant2	Flash	閃光燈
CalibrationIlluminant2	Fluorescent	日光燈
CalibrationIlluminant2	ISO Studio Tungsten	ISO 攝影棚鎢燈
CalibrationIlluminant2	Other	其他光源
CalibrationIlluminant2	Shade	陰天
CalibrationIlluminant2	Standard Light A	標準燈光 A
CalibrationIlluminant2	Standard Light B	標準燈光 B
CalibrationIlluminant2	Standard Light C	標準燈光 C
CalibrationIlluminant2	Tungsten (Incandescent)	鎢絲燈
CalibrationIlluminant2	Unknown	未知
CalibrationIlluminant2	Warm White Fluorescent	暖白螢光燈 (L 2600 - 3250K)
CalibrationIlluminant2	White Fluorescent	白色熒光燈 (WW 3250 - 3800K)
ColorEffect	Sepia	懷舊深咖啡色
ColorMode	Autumn Leaves	秋葉
ColorMode	B&W	黑白
ColorMode	Clear	透明
ColorMode	Deep	深色
ColorMode	Landscape	風景
ColorMode	Light	淡色
ColorMode	Neutral	中性
ColorMode	Night View	夜景
ColorMode	Night View/Portrait	夜間肖像
ColorMode	Portrait	肖像
ColorMode	Standard	標準
ColorMode	Sunset	日落
ColorMode	Vivid	鮮明色彩
ColorSpace	ICC Profile	色彩描述檔
ColorSpace	Uncalibrated	未校準
Compression	JPEG	JPEG壓縮率
Compression	JPEG (old-style)	JPEG (舊式)
Compression	Kodak DCR Compressed	Kodak DCR 壓縮
Compression	Kodak KDC Compressed	Kodak KDC 壓縮
Compression	Next	NeXT 2-bit 編碼
Compression	Nikon NEF Compressed	Nikon NEF 壓縮
Compression	Pentax PEF Compressed	Pentax PEF 壓縮
Compression	SGILog	SGI 32-bit Log Luminance 編碼
Compression	SGILog24	SGI 24-bit Log Luminance 編碼
Compression	Sony ARW Compressed	Sony ARW 壓縮
Compression	Thunderscan	ThunderScan 4-bit 編碼
Compression	Uncompressed	未壓縮
Contrast	High	硬
Contrast	Low	軟
Contrast	Normal	標準
CustomRendered	Custom	自訂程序
CustomRendered	Normal	正常程序
DynamicRangeOptimizer	Advanced Auto	進階自動
DynamicRangeOptimizer	Advanced Lv1	進階等級 1
DynamicRangeOptimizer	Advanced Lv2	進階等級 2
DynamicRangeOptimizer	Advanced Lv3	進階等級 3
DynamicRangeOptimizer	Advanced Lv4	進階等級 4
DynamicRangeOptimizer	Advanced Lv5	進階等級 5
DynamicRangeOptimizer	Auto	自動
DynamicRangeOptimizer	Off	關閉
DynamicRangeOptimizer	Standard	標準
ExposureMode	Auto	自動曝光
ExposureMode	Auto bracket	自動包圍曝光
ExposureMode	Manual	手動曝光
ExposureProgram	Action (High speed)	動態模式 (高速快門)
ExposureProgram	Aperture-priority AE	光圈優先
ExposureProgram	Creative (Slow speed)	景深優先
ExposureProgram	Landscape	風景模式
ExposureProgram	Manual	手動
ExposureProgram	Not Defined	未定義
ExposureProgram	Portrait	肖像模式 (背景在焦距以外的特寫照片)
ExposureProgram	Program AE	正常
ExposureProgram	Shutter speed priority AE	快門優先
FaceOrientation	Horizontal (normal)	0° (頂端/左邊)
